,City,Latitude,Longitude,Province,introduction,Area (Sq. km),Forest Area (acres),Total Housing Units,Tehsils,Union Councils,Population,Population Density per Sq. Km,Ratio Male per hundres females,Urban Population,Rural Population,Male,Female,Transgender,Number of Cattle,Multi Dimensional Poverty Index,Road Kilometrage,Motor Vehicles Registered,Health Institutions,Bed Strength,Doctors,Children fully immunized Urban,Children fully immunized Rural,Urban tap water %,Rural tap water %,Households toilet facility,Primary schools,Middle schools,High schools,Learning Score %,Availability of Electricity,Availability of Water,Public Toilet %
18,Mardan,34.1958,72.0447,Khyber Pakhtunkhwa,"Mardan is the second largest city of Khyber Pakhtunkhwa. Area constituting Mardan district is part of the Peshawar valley. It was made district in 1937 with the bifurcation of district of Peshawar. Swabi and Charsadda districts were later carved out of Mardan in the 1980s. Mardan district now comprises of two tehsils i.e. Takhtbhai and Mardan. Most of its land is agricultural. It has one of the world's best irrigation systems, which were laid down by the British government during British Rule on subcontinent (1857-1947). It was part of the ancient Gandhara Civilization. There are still remains of the Gandhara Civilization, scattered in different areas of Mardan. Malakand, Charsadda, Nowshera, Swabi and Buner Districts surround the District Mardan.

Mardan is blessed with fertile agricultural land; therefore, most of the people are associated with agriculture. Main crops are Virginia tobacco, sugarcane and wheat. Commercial deposits of marble, Limestone, Dolomite and Granite also exist in Mardan district. Veins of a good quality of Topaz, being a valuable gemstone have been found in the hillocks of Shaheed Ghundai and Shamozai Katlang, Mardan. Besides agriculture and mining as major economic activities, Mardan is also famous for its three major potential clusters namely Light Engineering Cluster (Takht Bhai), Furniture Cluster (Mardan) and Handicrafts Cluster (Mardan).",1632,91729.0,311868,3,75,2373061.0,1454.0,102.0,439325,1933736,1200871,1172112,78,247445,0.153,780.764,209411,8,0,498,100.0,100.0,24.0,24.0,90.0,1448,189,152,27.81,97.21,97.21,97.21
19,Sahiwal,30.6706,73.1064,Punjab,"District Sahiwal is bounded by district Khanewal on the West, by district Okara on the East, by district Vehari on the South-West, by district Pakpattan on the South-East and district Bahawalnagar on the south. River Ravi flows on its North side. It is approximately 500 ft. above sea level and It roughly forms a parallelogram lying generally NE-SW along the Ravi River.
It is spread over an area of 3201 sq km and comprises two tehsils namely, Sahiwal and Chicawatni. Sahiwal District also contains many subtowns like Qadirabad, Yousafwala, Iqbalnagar, Kassowal, Noorshah, Harappa and Ghaziabad. There are transport connections via road and Pakistan railways to Lahore, and a regional airport under construction.Agriculture is important to the local economy, particularly the growing of cotton and grain. Cattle are also kept and Sahiwal is famous for its water, buffalo milk and presence of one of the ancient civilizations on archeological evidence dated 3000 to 5000 B.C. 15 miles southwest from downtown in suburb of Harapa which was the northern city of Indus Valley Civilization.
Harrapa is today a large village in the Sahiwal District of Punjab, 15 miles southwest of the district town. Archaeologists think that ancient Harappa was the urban center dominating the upper Indus region, much like Mohenjo-daro dominated the lower Indus Valley and Ganweriwala might have been the urban center for what is now Rajasthan. The site at Harappa was first briefly excavated by Sir Alexander Cunningham in 1872-73, two decades after brick robbers carried off the visible remains of the city. He found an Indus seal of unknown origin.
The first extensive excavations at Harappa were started by Rai Bahadur Daya Ram Sahni in 1920. His work and contemporaneous excavations at Mohenjo-daro first brought to the world's attention the existence of the forgotten Indus Valley civilization as the earliest urban culture in the Indian subcontinent. His work was followed later in the decade by that of Madho Sarup Vats, also of the Archaeological Survey of India. Excavations by other archaeologists continued in the 1930's, and in 1946 Sir Mortimer Wheeler excavated the so-called fortification walls and found the first pre-Indus Valley civilization (Kot Dijian) deposits. After independence in 1947 and coming in District Sahiwal of Province of Punjab, Pakistan, Harappa was excavated by Mohammed Rafique Mughal of the Archaeological Survey of Pakistan in 1966.
The traditional crafts of district Sahiwal include baskets and mats. The baskets are made from sticks of Mulberry trees, which are found in abundance in the forest located at Chichawatni. The baskets are used for packing of fruit and vegetables. The mats are made from naturally grown grass. These crafts are mainly concentrated in Chichawatni and its suburbs. Approximately, 400 artisans are engaged in these crafts. Apart from baskets and mats, there are a number of handlooms installed in Sahiwal for the manufacture of school tats from jute and about 500 persons are engaged in this trade.
Its main crops are wheat, cotton, sugarcane, maize and rice. Main fruits are citrus, mangoes and guava. Sahiwal is a green and fertile town with 11,522 acres under naturally grown forests.

It is famous for its cotton ginning & pressing, tannery, textile spinning, textile weaving, leather products, garments, pharmaceuticals, flour mills, food industry, oil mills, tobacco, vegetable ghee/cooking oil, biscuit plants, chip board, confectionery, and woolen textile spinning/weaving, etc. Its garments are especially famous all over the world due to their unique eastern designs. The Biscuit industry also popular.",3201,11532.157,392509,2,100,2517560.0,786.0,104.0,517120,2000440,1281072,1236369,119,244000,0.14,1443.86,414015,12,1404,251,100.0,98.0,26.0,1.0,78.0,707,284,181,59.18,98.73,99.58,99.43
20,Okara,30.81,73.4597,Punjab,"The present main city was developed by the British Raj in six blocks and all the houses in blocks were designed in a same shape and sizes, this beautifully organized town planning is even never been seen today's life. Okara had a significant Punjabi Hindu and Sikh population apart from the Muslim before the partition of India in August 1947. The Hindus and Sikhs of Okara had to leave their ancestral homes and move to India during partition whilst Muslims from East Punjab migrated to this area.
Okara District is a district of Punjab, Pakistan. It is located on Multan Road some 110km from Lahore. According to the 1998 census, the district has a population of 2,232,992 of which 22.84% are/were urban. The name Okara was originally Okanwala from the name of wild plant.
Okara District is famous for its fertile lands, peaceful natural environment and green fields of potato, sugarcane, wheat, rice and maize crops. Oranges and Mangoes orchards are famous. The area of district Okara is the gold mine for history seekers, spiritual and curious travelers. One can find archaeological remains of different dynasties of prehistory, Indus civilization, Persians, Sultanates, the Mugal Empire, the Sikh Confederacy and the British Raj.
District Okara is bounded on the East by Kasur district, Sahiwal and Pakpattan districts on the West, Sheikhupura and Faisalabad districts on the North and Bahawalnagar district on the South. The Indian border also lies on the South-Eastern side of the district.
Okara became Teshil Headquarters in 1918 when a network of canal irrigation was completed in the area. Okara district started functioning as district with effect from July 1, 1982.Its area is about 4,377 square Kilometers. It is situated at a distance of about 120 Kilometers from Lahore on Lahore-Multan Grand Trunk road.
Depalpur has a great historic past and is a very ancient town. The fortified town of Depalpur is built on an old Kashan site (40 A.D. to 172 A.D.). The fortifications themselves are very ancient; though it is impossible determine their dates. All that can be said is that they are older than the visitation of Taimur (1398 A.D). According to Ibnash Chandra Das, about 2,000 years ago, Depalpur was a habitat of Aryans( his book is Rig-Vedic India). He is a Bengali historian. From the time of Alexander to the time of Mehmood Ghaznavi, no account of Depalpur is, however, available. In older times, Depalpur fell on the way to Delhi and, as such, was considered to be a place where an invader could be engaged. Depalpur, therefore, was one of the 3 lines of defense; the other 2 begin Uch Sharif/Multan and Samana/Sunam and Hansi.Aaeen-e-Akbari(Vol 1 Part п,page 1042, by Abul Fazal,translated by Maulni Muhammad Fida) reveals that Militia Force at Depalpur, during of Abul Fazal, consisted of 5,210 mounted Horsemen and 53,300 infantry. Depalpur Sarkar (an Administrative Unit under Mughal Rule) had 29 Mahals, (the word in all probability) is ?Mahal? meaning a Revenue Estate, comprising an area of 1,433,767 Bighas and 8 Biswa yielding and annual income of 1,293,153 Dirham.
The Mongols invaded this part of the Country repeatedly and they were checked at Depalpur by Ghias-Ud-Din Balban and his son Shahzada Muhammad. During there last invasion of Punjab in 1285 A.D. Pir Muhammad Khan Mangol (also called Samar Khan) was defeated at Depalpur but during the pursuit of the retreating Mongols, Shahzada Muhammad was killed .It is believed that Shahzada Muhammad is lying in rest in a small tomb to the west of the Badshahi Mosque at Depalpur. Conformation from any authentic sources is, however, not available.
According to the Gazetteer of  1935, the town was founded by one Siri Chand it was called Siri Nagar after time, The present name of the town is said to have re-founded the town, one view is that the town was named after Raja Deva Pala. In the 14th Century, Feroze Shah Tughlaq regularly visited this place. It is also believed that he built a large Mosque outside the City, no longer to be located now. At the time of Taimur’s invasion, Depalpur was second to Multan in size and importance. The town, it is believed may have been deserted due to Taimurs’s invasion and drying up old Bias River.

Industrial activity includes Sugar Mills, Cotton and Textile Mills, Vegetable Oil and Ghee Mills , Paper and Board Mills , Poultry Feed Mills, Flour Mills etc.",4377,6871.851,493180,3,140,3039139.0,694.0,106.0,831790,2207349,1564476,1474495,168,304000,0.185,2584.28,301160,6,497,303,100.0,97.0,20.0,4.0,82.0,1029,285,185,80.52,92.1,94.4,94.4
21,Jacobabad,28.2769,68.4514,Sindh,"The location of Jacobabad proper can be explained as 44 K.M North West of Sukkur. It is situated between 68.26 longitude and 28.17' latitude. This District was sometime also called (U.S.F) Upper Sindh Frontier District. In addition to it common folks also call it only (the northern) and some other time as (Siro) or the upper part. 
This District enjoys its integrity because of its situation, which adjoins it with three provinces, simultaneously. That is, it borders with Rajanpur District of the Punjab Province along its eastern side. It also borders with the Nasirabad district of the Balochistan Province on its North Western sides. All the same it join its Southern and South eastern borders simultaneously with four Districts of its parent province of Sindh. These adjoining Districts are District Larkana in its South. District Shikarpur in south east. District Sukkur in its east and District Ghotki in its east south. 
River Indus flows through Kashmore and Kandhkote Tehsils of District Jacobabad. Having a Dam. Called the Guddu Barrage in Kashmore Tehsil. The Pat feeder canal and all old channels take their source from the Guddu Barrage. 
There is no heavy Industrial unit in this District. Being and agricultural district, rich in paddy and wheat crops, there are only agricultural oriented Industry units in this District. Which in all count a number 225, this includes both the rice husking as well as flour mills. In addition to these recently three Ghee plants have also been installed, associated with a Soap factory, which produces raw Soap only good for cloth washing. 
In the fielded of Small Industries this District is leading the whole country in Jandree production. Fine coated and glazed furniture and other house-hold items can be prized as highlight of this district. Though this art was introduced and taught in vocational school of Jacobabad city. Yet it flourished in Kashmore Tehsil, Were small Industries department of Sindh Government has established a display and sales centre for the patronization of the Industry. Few other private centers are also functioning at Kashmore. 
Apart form this presentable Industry this district also claims regards in embroidery which is working as a home Industry and produce mirror work embroidery items such as Caps, Laces, Ghghra, Gaj, Waist coats and other embroidered garments which are exported from here to other parts of the country. 
Jacobabad District finds a very important place in the surrounding locality which for all sort of their supplies, depend entirely upon the Markets of Jacobabad District. The grain Markets and also cattle Markets are open every day except Fridays at all the Taluka Headquarter places of District. Apart from these markets there are also fruit Market and vegetable markets. To operate the trade of these markets a large community of Gumanshtas and commission agents is putting up in Jacobabad. These people are in direct communication with all the important markets of the country. The consumer goods are supplied from here on demand, ordered to and from any other market of the country. 
Smiths, workshops, hard-ware commodities and every other house-hold items are available on stores of the cities in the District. The Bazaars at every Taluka Headquarter place are rich and busy every day. Thousands of people come to buy or sale at the markets or the commercial centers ver4y day. People from all other provinces of the country also come here for purchasing the goods and cattle. The cows and buffaloes of this area are specially known for large quantities of milk. The Horses of this district are known for large fine breed so the horse trading is an important trade of the district.",2686,3110.0,177867,3,44,1006297.0,375.0,110.9,297127,709170,515480,490778,39,507000,0.391,565.0,34,2,216,137,100.0,100.0,4.0,1.0,91.0,1328,69,46,33.26,46.72,51.91,46.41
22,Kohat,33.5869,71.4414,Khyber Pakhtunkhwa,"Kohat is surrounded by a chain of mountains, holding a beautiful cantonment. It is one of the oldest cantonments of Pakistan and also the old district of Sub-continent. Kohat is described in the old history of Buddhism. This district has boundaries with Aurakazai Agency, district Hangu, district Kurak, district Nowshera and Punjab. The town centers around a British-era fort, various bazaars, and a military cantonment. Kohat is also known for its Sufi Saints.

It consists chiefly of a bare and intricate mountain region east of the Indus, deeply scored with river valleys and ravines, but enclosing a few scattered patches of cultivated lowland. Important historical places include Darra, Khushal Garh, Kohat town, Lachi, Shakardarra, Gumbat and Tanda Dam. Kohat is blessed with many natural resources. 

Kohat is famous for agri products and hand made kohati chappal. Agricultural products of the area include wheat, maize, barley, guava and citrus fruit. Poultry and local breeds of cattle are also good source of income for the people of Kohat.

Different regions of Kohat are characterized by the production of different items e.g. Billitang is famous for the production of mazri products. These products are being sold in Kohat, Peshawar and Islamabad markets, while some organizations have started exporting them to UK and Holland as well.

Darra Adam khel is famous for the production of arms and ammunition throughout the country. The technical skill attained by these gunsmiths is  acknowledged even in foreign countries. It has also become a major source of livelihood for the people of this area.

Shakar Darra is famous for Bee keeping and Honey processing. About 150 bee keeping farms are currently present in Kohat district making it a good source of income for the habitants of this area

Tanda Dam was built in 1960s near Kohat city towards the Hangu district. It is the main source of irrigation to adjoining areas. It has lovely surroundings, which attract a large number of people especially on weekends. The peaceful recreation provided by its natural beauty is unsurpassed.

Main bazaars of the area are Kohat, Gumbat, Lachi and Bilitang. Lachi is the main vegetable market and also Sub Tehsil of District Kohat. Gumbat is also Sub Tehsil of Kohat and is main market located on Pindi Kohat Road.

A small industrial estate also exists at Dhoda road Kohat. However the pace of industrialization is very slow due to location disadvantage and lack of entrepreneurial skills in the area.",2545,70654.0,121344,2,32,993874.0,391.0,100.0,270146,723729,496593,497238,43,174299,0.238,364.7,70768,6,512,367,94.0,98.0,44.0,21.0,87.0,654,78,79,48.46,100.0,100.0,100.0
23,Muzaffargarh,30.0703,71.1933,Punjab,"The city of Muzaffargarh is located in southern Punjab province at almost the exact centre of Pakistan. The closest major city is Multan. The area around the city is a flat, alluvial plain and is ideal for agriculture, with many citrus and mango farms. There are many canals that cut across the Muzaffargarh District, providing water from nearby farms. This makes the land very fertile. However usually land close to the Chenab are usually flooded in the monsoon season.
Muzaffargarh features an arid climate with very hot summers and mild winters. The city witnesses some of the most extreme weather in the country. The highest recorded temperature is approximately 54 °C (129 °F), and the lowest recorded temperature is approximately −1 °C (30 °F). The average rainfall is roughly 127 millimetres (5.0 in). Dust storms are a common occurrence within the city.

Wheat, sugarcane and cotton are the main crops grown in the town and the surrounding district. Rice, jowar, pearl millet, moong bean, masoor, ground nuts, maize, mustard seeds, sunflower seeds, and other oil seeds are grown in the area in small amounts.

Mangoes, dates, citruses, and pomegranates are the main fruits grown in the region. Jamun, pears, phalsa, and bananas are also grown in minor quantities.

Vegetables grown in the area include onions, carrots, cauliflower, peas, okra, turnips, tomatoes, potatoes, garlic and chilies.

Muzaffargarh is a leading district in fish farming, with about 15000 acres of land being utilized for aquaculture. The Indian major carp and the tilapia are the most commonly cultured fish.

The town's major industries include cotton ginning and pressing, flour milling, jute textile production, oil milling, paper production, petroleum production, including refining, electrical power production, solvent extraction, and textile spinning.

The Pak-Arab Mid-Country Refinery is Pakistan's newest, largest and most complex refinery. Commissioned in 2000, the Pak-Arab Refinery produces 100,000 barrels per day, and it represents about 35% of Pakistan’s refining capacity. It helps substitute the import of refined oil products worth 10.5 billion PKR (USD $100 million) per year. The Pak-Arab refinery mainly processes crude oil from the Upper Zakum oil fieldand from Saudi Arabia.

Kot Addu Power Company was incorporated in 1996 with the purpose of contributing electrical power to the national grid. KAPCO has shown good results plant maintenance, availability, quality standards, and financial performance. In April 2005, KAPCO was listed on all three stock exchanges in Pakistan. The total production capacity of KAPCO is 1600 megawatts.

Lal Pir Power owns and operates the Lal Pir thermal power station, the most efficient power plant in Pakistan. The total production capacity of the station is 362 megawatts.

The Thermal Power Station of Muzaffargarh consists of 3 oil-fired steam-operated units producing 210 megawatts, each with an attachment to another 3 units of the same or more capacity. The total production capacity of the TPS is 1350 megawatts. This power station is a major thermal power plant that is connected with the national grid system of Pakistan. 

The town is linked to the rest of the district by paved roads that stretch for 983.69 km. Buses to Multan leave frequently, because of their close proximity to each other. There are also buses that travel to more distant destinations. The N-5 National Highway connects the city to the other parts of Pakistan. This highway allows for direct travel to Rawalpindi, Islamabad, Faisalabad, Karachi, Lahore, and Bahawalpur.

Muzaffargarh is connected by rail with all parts of Pakistan, as it lies on the branch track between Rawalpindi, Multan, Mianwali and Attock. The main Peshawar-Karachi railway line passes through Multan district.

Muzaffargarh has no Airport. The people of Muzaffargarh primarily use the Multan International Airport. A rise in air travel in the region has led to the expansion of the airport with a new runway and terminal.",8249,101434.55,667515,4,111,4322009.0,524.0,106.0,694771,3627238,2218744,2103132,133,1100000,0.338,2243.03,139789,10,467,432,97.0,99.0,5.0,1.0,69.0,1583,225,132,0.0,88.86,92.89,92.77
24,Mandi Bahauddin,32.5861,73.4917,Punjab,"It is bordered on the northwest by the Jhelum River, on the southeast by the Chenab River (which separates it from Gujranwala District and Gujrat District), and on the southwest by the Sargodha District.

Originally Mandi Bahauddin was a village called as Chak number 51. It started expanding after the completion of Rasul Hydroelectric Power Station on Upper Jhelum Canal in 1901. Today, Mandi Bahauddin is an over crowded market town famous for its agricultural markets (Grain Market, Vegetable Market and Livestock Market) and local industry of making colourful bed legs.

The name Mandi Bahauddin originates from two sources: Mandi (market) was prefixed because it was a flourishing grain market and Bahauddin was borrowed from nearby old village Pindi Bahauddin, which has now become part of the town. After the partition, thousands of refugees from India rehabilitated on the evacuee property of Sikh and Hindu landlords. Lately, after the construction of Rasul Barrage, people from the belt along southern edge of Salt Range up to Pind Dadan Khan and other areas across the River Jhelum came settling in the town. Due to migrations and increase in business activities, the town has expanded in all directions. The result is that more than half of the population is living outside municipal limits without any civic amenities. More unplanned localities and kachi abadies are coming up everyday. The tendency to move from rural areas to urban centres is on the increase.",2673,13736.289,252120,3,80,1593292.0,596.0,95.0,326400,1266892,776205,816971,116,119000,0.147,2133.55,151575,7,251,159,100.0,100.0,4.0,5.0,85.0,551,140,141,65.5,98.0,100.0,100.0
25,Abbottabad,34.15,73.2167,Khyber Pakhtunkhwa,"Abbottabad is a district in the North-West Frontier Province of Pakistan. The district covers an area of 1,967 km with the city of Abbottabad being the principal town of this district. Neighbouring districts are Mansehra to the north, Muzaffarabad to the east, Haripur to the west, and Rawalpindi to the south. Abbottabad, the headquarters of Hazara Division, situated at an altitude of 1,225 m (4002 ft) above sea level and surrounded by refreshing green hills of Sarban, is one of the best-known hill resorts of Pakistan. It is situated on the Karakoram Highway (Silk Route) to China, 120 Km from Rawalpindi/Islamabad and 205 Km from Peshawar.

Abbottabad is blessed with many natural resources. It is especially famous for the production of agricultural products, mining, tourism, industries of various products, and dependence on natural resources. All these produce play an important role in economic uplift of the people of Abbottabad.Some of the minerals mined within the district are barite, dolomite, granite, gypsum, limestone, magnesite, marble, phosphate, red ochre and red oxide.

A few small scale industries are available which are still in developing stage and there is great potential for these industries products to contribute to the national income and also in reducing unemployment in the region and make improve the living standard of the locality, if they are given proper attention and assistance from the concerned authorities. A small industrial estate has been established at Mandian, 5 km away from Abbottabad city where cement, woodwork, PVC pipes, wires and cement pipes are prepared.

Although Abbottabad is a district as well as divisional headquarter, Havelian is the trade center due to railway station connected with Punjab/ Peshawar and other parts of the country through railway line. The government has established an export promotion bureau office headed by an Assistant Director to promote trade in the district.",1967,199710.0,216534,2,51,1332912.0,678.0,103.0,293137,1039775,677570,655281,61,111415,0.149,1076.87,57724,11,1410,460,100.0,95.0,93.0,66.0,91.0,1359,166,117,79.54,69.68,74.98,92.13
26,Dadu,26.7319,67.775,Sindh,"Dadu has been along the route of caravans travelling along the Indus. Khudabad village of district Dadu had remained the capital of Kalhora dynasty till as late as 1768 A.D. The popular trade system was “Hundi” in the district. After Independence of Pakistan, the people belonging to Hindu community migrated to India and their properties were given to Muslims who had come from India.

District Dadu was established in 1933 by the British Indian administration by merging Kotri and Kohistan tehsils of Karachi district and Mehar, Khairpur Nathan Shah, Dadu, Joshi and Sehwan tehsils of Larkana distrcit. The talukas are Johi, Mehar, Khairpur Nathan Shah and Dadu.

The main crops are cotton, rape mustard and sunflower. The Rabi crops produced in the district are wheat, barley, gram, pulses and oil seeds. The Kharif crops are rice, cotton, sugarcane and maize.

The district is rich in natural resources. Precious stones and reservoirs of gas and petroleum have been explored in taluka Johi. The B.H.P. Company established itself in the district to explore gas and petroleum. Another Foreign company ENI has also setup their base station along the border of Taluka Johi and Sehwan for the same purpose. Small and Medium Enterprise development Authority (SMEDA) has reported 44 small industries (rice husking mills) in two talukas: Mehar and K.N Shah. These mills provide employment to 1,340 people of this area. Other than that, Dadu Sugar Mill is a large scale industry in this district.

Sukkur barrage and Kotri Barrage irrigate the district. There are two main canals in the district Rice canal and Dadu canal. Besides, land is also irrigated by tube wells and spill over of river Indus.

The district is rich in livestock and cattle, bualo, goat and sheep. Livestock is one of the major sub-sectors of Agriculture and backbone of Pakistan’s economy. Its main by-products, including hides and skins, have substantial potential as semi-finished products. A substantial growth in Livestock products such as milk, meat, beefs, mutton, poultry and eggs have been noticed, since many years.",7866,7535.51,286810,4,66,16051521.0,2041.0,106.0,383169,1167097,797857,752385,24,469000,0.247,1044.0,7358,4,263,227,100.0,94.0,49.0,8.0,92.0,1795,56,84,38.41,48.54,52.89,62.66
27,Bahawalnagar,29.9944,73.2536,Punjab,"The boundaries of Bahawalnagar in the East and South touches the Indian territory while Bahawalpur district lies on its West and river Sutlej flows on its Northern side.

District Bahawalnagar has a very hot and dry climate in summer. The maximum temperature touches 52 Centigrade. The climate in winter is very dry and cold. Wind and storms are quite common during the summer. The average annual rainfall in the district is 119 mm. The district may be divided into three parts according to the soil condition, i.e., the riverain area, the canal irrigated plain and the desert area. The riverain area of the district lies close to the Sutlej river which flows in the North-West along its border with Okara, Pakpattan, Sahiwal and Vehari districts. The land in this area is irrigated by non-perennial canals. During the summer monsoons, the area is generally inundated by river water. The canal irrigated area is the plain area which has been brought under cultivation by the canals. The desert area of the district is called the Cholistan. The surface of this desert consists of a succession of sand dunes, rising in places to a height of 150 meters.
 
Major crops of district Bahawalnagar are wheat, sugarcane, cotton, rice and rape/mustard seeds. At present, there are flour mills, sugar mills, cotton ginning/pressing factories and oil expelling units. In view of the availability of raw-materials and existing agro-based industries, there exists good prospects for additional textile spinning/weaving/processing, rice husking units and solvent oil extraction unit.

At present, the major industrial units operating in district Bahawalnagar are sugar mills and textile spinning mills. There is also potential for milk processing unit, dairy farms, cattle/sheep/goat fattening farm, tannery, leather products, and machine made wool carpet units.",8878,23983.526,481276,5,135,2981919.0,336.0,103.0,621096,2360823,1514866,1466876,177,467000,0.244,3761.78,310670,11,723,298,96.0,96.0,62.0,27.0,71.0,1590,368,188,52.35,82.88,91.18,89.46
28,Khuzdar,27.8,66.6167,Balochistan,"Khuzdar District lies between 65°35'35""- 67°24'8"" East longitudes and 25°44'4""-28°51'25"" North latitudes. Location of Khuzdar is at 900 km (aerial distance) south-west (225 degrees bearing) of Pakistan's Capital City Islamabad and 270 km south (188 degrees bearing) from Quetta City, the provincial capital of Balochistan.

Khuzdar was separated from Kalat after having district status on 1 March, 1974. The district headquarter is in “Khuzdar” town. The district is located in the center of Balochistan, sharing its boundaries in the east with Sindh Province and Jhal Magsi, while Awaran and Washuk Districts are in the west. Lasbela is in the south and Kalat in north.

Khuzdar city is situated on the National Highway that links Pakistan with Iran and Turkey. The terrain of the district consists of mountains and valleys ranging in ground elevation from 64 -2,852 meters above Mean Sea Level (MSL). The population of Khuzdar District was estimated over 525,000 in 2005. Main education institution in the district is University of Engineering and Technology, which is located in the suburbs. The university is constructed at the foot-hills and occupies an area of 200 acres.

Major Rabi crops include Wheat, Fodder and Vegetables. Major Kharif Crops include Cotton and Melons. Apple, Apricot and Pomegranate are the leading fruits of District Khuzdar.

There is a significant amount of fish catch experienced in the streams of Moola, Naal and others but it is for the local consumption not for commercial purpose. Therefore, the fisherires department has not been formally established in the district and the relevant data has not been properly collected and updated.

Other than Marble, Lead and Zinc are also among main minerals. Common minerals of economic significance are Galena (PbS) and Sphelerite (Zn, Fe). Some of the important Lead Zinc prospects of District Khuzdar require detailed exploration. Gunga Lead Zinc Barite has deposit of 10 million tones according to preliminary estimates (Geological Survey of Pakistan) whereas Surmai Lead Zinc deposit are estimated at 3 million tons Iron Ore deposits of Hematite are of economic significance at different localities in ultramafic rocks near Monar Talar. 

These deposits are being mined by private sector and transported down the country in raw form. Strontium and Copper deposits of good quality have been reported too. The Barite mineral in chemical composition of BaSo4 owing to its high specific gravity is used in production of oil well drilling mud, in paints, chemical ceramics, paper industries and manufacture of barium chemicals. Its large deposits occur at Gunga 16 Km to south-east of Khuzdar city with ore in inter-bedded limestone and shale. The zone of mineralization is about 1,380 meters long. Massive Sulphide Copper deposits are also found in the area.

Major industry is not available; however, small enterprises in the area include carpet centers, woodwork, mazri making and furniture making workshops. Few cottage industries are also functional in the area where local embroidery work is carried out by women and girls. Major factors that limit the development of industry and manufacturing are non-existence of infrastructure and marketing network, unavailability of micro-credit and absence of skilled labor.

Agricultural products and minerals are exported to Karachi and Quetta. Almost all the consumer items are imported from Karachi, Quetta and various cities of Punjab. Some goods smuggled in from Iran via Kech and Panjgur are also available.",35380,1280.0,1200405,9,40,802207.0,22.67,110.59,277136,525071,421268,380939,0,103375,0.285,2867.0,1235,1,30,54,100.0,100.0,28.0,13.0,99.0,647,65,39,41.63,7.56,60.21,18.61
29,Khuzdar,27.7384,66.6434,Balochistan,"Khuzdar District lies between 65°35'35""- 67°24'8"" East longitudes and 25°44'4""-28°51'25"" North latitudes. Location of Khuzdar is at 900 km (aerial distance) south-west (225 degrees bearing) of Pakistan's Capital City Islamabad and 270 km south (188 degrees bearing) from Quetta City, the provincial capital of Balochistan.

Khuzdar was separated from Kalat after having district status on 1 March, 1974. The district headquarter is in “Khuzdar” town. The district is located in the center of Balochistan, sharing its boundaries in the east with Sindh Province and Jhal Magsi, while Awaran and Washuk Districts are in the west. Lasbela is in the south and Kalat in north.

Khuzdar city is situated on the National Highway that links Pakistan with Iran and Turkey. The terrain of the district consists of mountains and valleys ranging in ground elevation from 64 -2,852 meters above Mean Sea Level (MSL). The population of Khuzdar District was estimated over 525,000 in 2005. Main education institution in the district is University of Engineering and Technology, which is located in the suburbs. The university is constructed at the foot-hills and occupies an area of 200 acres.

Major Rabi crops include Wheat, Fodder and Vegetables. Major Kharif Crops include Cotton and Melons. Apple, Apricot and Pomegranate are the leading fruits of District Khuzdar.

There is a significant amount of fish catch experienced in the streams of Moola, Naal and others but it is for the local consumption not for commercial purpose. Therefore, the fisherires department has not been formally established in the district and the relevant data has not been properly collected and updated.

Other than Marble, Lead and Zinc are also among main minerals. Common minerals of economic significance are Galena (PbS) and Sphelerite (Zn, Fe). Some of the important Lead Zinc prospects of District Khuzdar require detailed exploration. Gunga Lead Zinc Barite has deposit of 10 million tones according to preliminary estimates (Geological Survey of Pakistan) whereas Surmai Lead Zinc deposit are estimated at 3 million tons Iron Ore deposits of Hematite are of economic significance at different localities in ultramafic rocks near Monar Talar. 

These deposits are being mined by private sector and transported down the country in raw form. Strontium and Copper deposits of good quality have been reported too. The Barite mineral in chemical composition of BaSo4 owing to its high specific gravity is used in production of oil well drilling mud, in paints, chemical ceramics, paper industries and manufacture of barium chemicals. Its large deposits occur at Gunga 16 Km to south-east of Khuzdar city with ore in inter-bedded limestone and shale. The zone of mineralization is about 1,380 meters long. Massive Sulphide Copper deposits are also found in the area.

Major industry is not available; however, small enterprises in the area include carpet centers, woodwork, mazri making and furniture making workshops. Few cottage industries are also functional in the area where local embroidery work is carried out by women and girls. Major factors that limit the development of industry and manufacturing are non-existence of infrastructure and marketing network, unavailability of micro-credit and absence of skilled labor.

Agricultural products and minerals are exported to Karachi and Quetta. Almost all the consumer items are imported from Karachi, Quetta and various cities of Punjab. Some goods smuggled in from Iran via Kech and Panjgur are also available.",35380,1280.0,1200405,9,40,802207.0,22.67,110.59,277136,525071,421268,380939,0,103375,0.285,2867.0,1235,1,30,54,100.0,100.0,28.0,13.0,99.0,647,65,39,41.63,7.56,60.21,18.61
